trial,input_weight,output_weight
0,1,522
1,3,528
2,1,499
3,1,520
4,1,535
5,2,504
6,2,516
7,4,523
8,4,526
9,3,531
10,2,500
11,1,537
12,1,508
13,4,533
14,3,542
15,3,499
16,4,525
17,3,506
18,1,526
19,3,503
20,1,499
21,4,504
22,2,522
23,1,492
24,4,543
25,3,511
26,4,528
27,3,526
28,1,508
29,2,510
30,3,525
31,4,508
32,4,537
33,2,514
34,3,536
35,2,492
36,3,513
37,2,502
38,4,511
39,4,530
40,4,514
41,1,528
42,3,492
43,1,499
44,3,491
45,2,510
46,4,496
47,4,501
48,1,521
49,1,550
50,3,513
51,4,468
52,2,512
53,1,510
54,2,508
55,4,509
56,4,520
57,1,538
58,2,528
59,1,495
60,1,510
61,3,522
62,2,502
63,2,516
64,3,517
65,2,515
66,2,533
67,4,514
68,2,516
69,2,515
70,4,517
71,1,518
72,1,498
73,3,501
74,4,520
75,3,529
76,1,527
77,4,493
78,2,500
79,1,514
80,3,507
81,3,521
82,4,514
83,4,512
84,4,516
85,1,524
86,2,494
87,3,496
88,2,503
89,1,509
90,2,499
91,3,528
92,1,491
93,1,524
94,2,528
95,4,514
96,4,518
97,4,501
98,3,501
99,3,534
100,1,502
101,1,497
102,2,525
103,1,501
104,4,500
105,1,522
106,2,480
107,4,508
108,3,546
109,4,516
110,2,526
111,3,508
112,3,494
113,2,489
114,4,509
115,1,534
116,3,518
117,4,532
118,1,473
119,2,527
120,1,501
121,3,502
122,3,515
123,1,514
124,3,511
125,1,525
126,2,502
127,3,517
128,1,503
129,3,532
130,1,529
131,2,508
132,1,518
133,1,523
134,2,516
135,2,520
136,4,517
137,1,542
138,3,552
139,2,513
140,2,476
141,1,499
142,3,505
143,1,501
144,2,539
145,3,525
146,1,506
147,3,498
148,3,506
149,4,519
150,2,519
151,3,527
152,2,491
153,1,505
154,4,541
155,4,506
156,1,522
157,4,528
158,2,500
159,2,522
160,4,503
161,2,509
162,2,558
163,1,528
164,4,507
165,2,505
166,1,485
167,2,527
168,3,523
169,4,513
170,2,538
171,4,501
172,4,510
173,1,473
174,4,531
175,3,529
176,2,519
177,3,510
178,1,530
179,3,509
180,1,523
181,3,541
182,1,492
183,2,513
184,2,521
185,4,515
186,2,518
187,3,530
188,2,483
189,2,527
190,4,536
191,1,472
192,4,537
193,4,538
194,4,522
195,2,508
196,3,512
197,1,517
198,2,482
199,3,523
200,2,520
201,3,498
202,2,513
203,1,516
204,4,522
205,1,510
206,3,523
207,4,499
208,1,505
209,4,492
210,2,540
211,4,516
212,1,499
213,1,514
214,1,509
215,4,502
216,4,529
217,4,476
218,3,472
219,4,474
220,4,510
221,3,515
222,3,524
223,3,506
224,3,510
225,2,496
226,4,505
227,2,535
228,2,522
229,3,516
230,1,494
231,4,525
232,3,495
233,2,537
234,4,512
235,2,524
236,1,518
237,4,512
238,3,513
239,3,509
240,2,522
241,4,521
242,2,501
243,3,515
244,2,493
245,2,547
246,1,503
247,4,508
248,1,529
249,1,481
250,4,500
251,2,518
252,3,512
253,3,525
254,4,507
255,3,465
