round,weight
1,518
2,543
3,530
4,522
5,514
6,538
7,516
8,493
9,535
10,521
11,531
12,486
13,540
14,512
15,520
16,512
17,513
18,500
19,519
20,483
21,492
22,494
23,504
24,516
25,546
26,509
27,509
28,501
29,487
30,535
31,523
32,522
33,512
34,496
35,521
36,501
37,513
38,529
39,523
40,510
41,470
42,534
43,519
44,489
45,493
46,519
47,518
48,495
49,524
50,490
51,514
52,491
53,507
54,536
55,532
56,538
57,493
58,522
59,524
60,524
61,525
62,505
63,533
64,541
65,505
66,543
67,485
68,520
69,480
70,507
71,499
72,511
73,491
74,502
75,488
76,496
77,506
78,492
79,509
80,520
81,492
82,521
83,523
84,521
85,500
86,511
87,512
88,510
89,512
90,508
91,513
92,499
93,537
94,524
95,528
96,515
97,497
98,517
99,515
100,513
101,512
102,518
103,508
104,496
105,523
106,519
107,518
108,503
109,527
110,507
111,516
112,512
113,486
114,537
115,533
116,509
117,470
118,500
119,500
120,524
121,512
122,544
123,523
124,517
125,491
126,497
127,500
128,516
129,515
130,509
131,516
132,496
133,528
134,497
135,534
136,516
137,563
138,519
139,506
140,545
141,523
142,520
143,513
144,520
145,523
146,518
147,515
148,524
149,520
150,499
151,502
152,544
153,503
154,481
155,511
156,530
157,493
158,515
159,509
160,517
161,490
162,510
163,509
164,546
165,517
166,497
167,498
168,522
169,506
170,496
171,506
172,520
173,494
174,521
175,505
176,518
177,550
178,497
179,508
180,513
181,517
182,516
183,515
184,508
185,510
186,495
187,525
188,528
189,521
190,516
191,539
192,500
193,502
194,522
195,521
196,507
197,504
198,489
199,505
200,525
201,517
202,505
203,501
204,517
205,498
206,476
207,533
208,492
209,529
210,514
211,505
212,525
213,533
214,474
215,507
216,501
217,500
218,520
219,517
220,517
221,525
222,532
223,504
224,499
225,505
226,501
227,532
228,495
229,531
230,499
231,490
232,520
233,508
234,525
235,518
236,515
237,480
238,491
239,531
240,499
241,491
242,508
243,503
244,533
245,499
246,507
247,503
248,520
249,510
250,503
251,494
252,480
253,513
254,513
255,522
256,547
